Draw Number,P(Ti),P(Tv),P(mutS)
1,0.5000523,0.4001282,0.0998195
2,0.5447016,0.3553375,0.0999609
3,0.5897731,0.3101526,0.1000743
4,0.6351197,0.2648946,0.0999857
5,0.6797314,0.2200865,0.1001821
6,0.7251151,0.1779113,0.0969736
7,0.7699012,0.141055,0.0890438
8,0.8112403,0.111443,0.0773167
9,0.8476195,0.0887106,0.0636699
10,0.8781687,0.0718567,0.0499746
11,0.9022298,0.0600843,0.0376859
12,0.9206979,0.0518509,0.0274512
13,0.9344198,0.0462217,0.0193585
14,0.9441381,0.0425265,0.0133354
15,0.9511622,0.0398801,0.0089577
16,0.9560042,0.0380253,0.0059705
17,0.9594479,0.0367167,0.0038354
18,0.9618666,0.0356873,0.0024461
19,0.9636126,0.03485,0.0015374
20,0.9648179,0.0342128,0.0009693
21,0.9659212,0.0335044,0.0005744
22,0.9666641,0.0329823,0.0003536
23,0.9673919,0.0324041,0.000204
24,0.9681485,0.0317194,0.0001321
25,0.9686735,0.0312512,7.53e-05
26,0.9693575,0.0305971,4.54e-05
27,0.9697471,0.0302262,2.67e-05
28,0.9703612,0.029621,1.78e-05
29,0.9709436,0.0290474,9e-06
30,0.9714364,0.0285583,5.3e-06
31,0.9720867,0.0279098,3.5e-06
32,0.9725602,0.0274378,2e-06
33,0.9729599,0.0270386,1.5e-06
34,0.9735264,0.0264731,5e-07
35,0.9741619,0.0258379,2e-07
36,0.974548,0.0254519,1e-07
37,0.9750456,0.0249544,0.0
38,0.9754779,0.024522,1e-07
39,0.9760809,0.0239191,0.0
40,0.9766062,0.0233938,0.0
41,0.9771154,0.0228846,0.0
42,0.9775591,0.0224409,0.0
43,0.953596,0.046404,0.0
44,0.8794815,0.1205185,0.0
45,0.7527628,0.2472372,0.0
46,0.5879666,0.4120334,0.0
