Draw Number,P(Ti),P(Tv),P(mutS)
1,0.6401421,0.2878379,0.07202
2,0.6642286,0.2636916,0.0720798
3,0.6880138,0.2398448,0.0721414
4,0.7124526,0.2155906,0.0719568
5,0.7363383,0.1917181,0.0719436
6,0.7606168,0.1678251,0.0715581
7,0.7848612,0.1450439,0.0700949
8,0.8083748,0.1241238,0.0675014
9,0.8313323,0.1052459,0.0634218
10,0.8529506,0.0886068,0.0584426
11,0.8733041,0.0742089,0.052487
12,0.8910733,0.0627083,0.0462184
13,0.907267,0.0528967,0.0398363
14,0.9210905,0.0450784,0.0338311
15,0.9328399,0.0389397,0.0282204
16,0.9427967,0.0340154,0.0231879
17,0.9508433,0.0303325,0.0188242
18,0.9575254,0.0273213,0.0151533
19,0.9630115,0.0250341,0.0119544
20,0.96733,0.023322,0.009348
21,0.9707255,0.0220202,0.0072543
22,0.9734052,0.0209995,0.0055953
23,0.9755524,0.0201655,0.0042821
24,0.977057,0.0196789,0.0032641
25,0.9784346,0.0191348,0.0024306
26,0.9794249,0.0187453,0.0018298
27,0.9802132,0.0184113,0.0013755
28,0.9807353,0.0182453,0.0010194
29,0.9813516,0.0179122,0.0007362
30,0.9817137,0.0177249,0.0005614
31,0.9820778,0.0175289,0.0003933
32,0.9823012,0.0174133,0.0002855
33,0.9824751,0.017306,0.0002189
34,0.9826776,0.0171701,0.0001523
35,0.9829269,0.0169681,0.000105
36,0.9831138,0.0168048,8.14e-05
37,0.9832974,0.0166473,5.53e-05
38,0.9834419,0.0165167,4.14e-05
39,0.9835383,0.0164327,2.9e-05
40,0.9837444,0.0162342,2.14e-05
41,0.9837732,0.0162147,1.21e-05
42,0.9839564,0.0160318,1.18e-05
43,0.9117865,0.0882071,6.4e-06
44,0.7653026,0.2346922,5.2e-06
45,0.5798626,0.4201329,4.5e-06
46,0.3807181,0.6192755,6.4e-06
