Draw Number,P(Ti),P(Tv),P(mutS)
1,0.6400741,0.2880239,0.071902
2,0.6397876,0.2881402,0.0720722
3,0.6401006,0.2881636,0.0717358
4,0.639872,0.2882174,0.0719106
5,0.6399203,0.2881136,0.0719661
6,0.6422395,0.2862484,0.0715121
7,0.6494043,0.2803729,0.0702228
8,0.6625953,0.2698573,0.0675474
9,0.6824052,0.2540289,0.0635659
10,0.7079634,0.2336149,0.0584217
11,0.7375737,0.2098771,0.0525492
12,0.7690394,0.1847451,0.0462155
13,0.8004294,0.1596663,0.0399043
14,0.830832,0.1353224,0.0338456
15,0.8589882,0.1127206,0.0282912
16,0.8839437,0.0928149,0.0232414
17,0.9059888,0.0751486,0.0188626
18,0.9247126,0.0602536,0.0150338
19,0.9401273,0.047886,0.0119867
20,0.9531952,0.0374089,0.0093959
21,0.9635675,0.029125,0.0073075
22,0.9719988,0.0224329,0.0055683
23,0.9785865,0.0171108,0.0043027
24,0.9837233,0.0130075,0.0032692
25,0.9877297,0.0098405,0.0024298
26,0.9907958,0.0073666,0.0018376
27,0.9931628,0.0054761,0.0013611
28,0.9949131,0.0040619,0.001025
29,0.9962701,0.0029997,0.0007302
30,0.9972401,0.0022105,0.0005494
31,0.9979821,0.0016251,0.0003928
32,0.9985339,0.0011712,0.0002949
33,0.9989619,0.0008284,0.0002097
34,0.9992373,0.00061,0.0001527
35,0.9994546,0.000435,0.0001104
36,0.9996052,0.0003161,7.87e-05
37,0.9997255,0.0002156,5.89e-05
38,0.9997996,0.0001576,4.28e-05
39,0.999858,0.0001144,2.76e-05
40,0.9998963,8.29e-05,2.08e-05
41,0.999932,5.52e-05,1.28e-05
42,0.9999514,3.85e-05,1.01e-05
43,0.9999636,2.93e-05,7.1e-06
44,0.9999731,2.12e-05,5.7e-06
45,0.9999781,1.69e-05,5e-06
46,0.9999671,2.65e-05,6.4e-06
