Draw Number,P(Ti),P(Tv),P(mutS)
1,0.4998048,0.4376887,0.0625065
2,0.5283155,0.4093335,0.062351
3,0.5563407,0.3810488,0.0626105
4,0.5847118,0.3527973,0.0624909
5,0.6125402,0.3249469,0.0625129
6,0.6408511,0.2966479,0.062501
7,0.6688951,0.2686674,0.0624375
8,0.6968424,0.2406576,0.0625
9,0.725032,0.2126931,0.0622749
10,0.7529476,0.1857568,0.0612956
11,0.781048,0.1597888,0.0591632
12,0.8079803,0.1366918,0.0553279
13,0.8336252,0.1160424,0.0503324
14,0.8569167,0.0988203,0.044263
15,0.8777204,0.0844046,0.037875
16,0.8954534,0.0732817,0.0312649
17,0.9104817,0.0643528,0.0251655
18,0.922503,0.057823,0.019674
19,0.9321718,0.0527894,0.0150388
20,0.939656,0.0491523,0.0111917
21,0.9453566,0.0464132,0.0082302
22,0.9493808,0.0446818,0.0059374
23,0.9527132,0.0430782,0.0042086
24,0.9552337,0.0418587,0.0029076
25,0.9568606,0.0411504,0.001989
26,0.958259,0.0404088,0.0013322
27,0.9591411,0.0399335,0.0009254
28,0.9599862,0.0394159,0.0005979
29,0.960587,0.0390222,0.0003908
30,0.9609853,0.0387519,0.0002628
31,0.96159,0.0382422,0.0001678
32,0.9620121,0.0378876,0.0001003
33,0.9625177,0.0374161,6.62e-05
34,0.9626854,0.0372728,4.18e-05
35,0.9631108,0.0368657,2.35e-05
36,0.9635198,0.0364638,1.64e-05
37,0.9639268,0.0360628,1.04e-05
38,0.9642299,0.0357643,5.8e-06
39,0.9645568,0.0354395,3.7e-06
40,0.947119,0.0528791,1.9e-06
41,0.8956237,0.104375,1.3e-06
42,0.8110692,0.18893,8e-07
43,0.7045718,0.2954278,4e-07
44,0.5868647,0.413135,3e-07
45,0.4642404,0.5357595,1e-07
46,0.3400207,0.6599791,2e-07
