Draw Number,P(Ti),P(Tv),P(mutS)
1,0.7000412,0.2399678,0.059991
2,0.7148729,0.2250938,0.0600333
3,0.7301026,0.2100715,0.0598259
4,0.7451303,0.1949569,0.0599128
5,0.759905,0.1799467,0.0601483
6,0.7750123,0.1652317,0.059756
7,0.7899724,0.1506659,0.0593617
8,0.8050608,0.136552,0.0583872
9,0.8199417,0.1234135,0.0566448
10,0.8349316,0.1110578,0.0540106
11,0.8487562,0.1001695,0.0510743
12,0.8625471,0.0901512,0.0473017
13,0.8753507,0.0813122,0.0433371
14,0.8870012,0.0736701,0.0393287
15,0.8978313,0.067052,0.0351167
16,0.9077373,0.0612901,0.0309726
17,0.9167502,0.056353,0.0268968
18,0.9243879,0.052237,0.0233751
19,0.9312945,0.0488059,0.0198996
20,0.9372753,0.0457554,0.0169693
21,0.9424568,0.043278,0.0142652
22,0.9469479,0.04114,0.0119121
23,0.9506595,0.0394696,0.0098709
24,0.9541345,0.0377404,0.0081251
25,0.9568247,0.0364826,0.0066927
26,0.9593573,0.0352285,0.0054142
27,0.9614482,0.0341661,0.0043857
28,0.9632781,0.0331974,0.0035245
29,0.9647734,0.0323587,0.0028679
30,0.9662302,0.0315325,0.0022373
31,0.9673705,0.0308189,0.0018106
32,0.9683925,0.0301773,0.0014302
33,0.9694414,0.0294313,0.0011273
34,0.970292,0.028818,0.00089
35,0.9711965,0.0281023,0.0007012
36,0.9718742,0.0275888,0.000537
37,0.9726114,0.0269581,0.0004305
38,0.9732457,0.0264191,0.0003352
39,0.9739134,0.0258304,0.0002562
40,0.9746007,0.0252083,0.000191
41,0.975025,0.0248185,0.0001565
42,0.9756543,0.0242338,0.0001119
43,0.949692,0.0502168,9.12e-05
44,0.8694714,0.1304516,7.7e-05
45,0.7325681,0.2673521,7.98e-05
46,0.5546378,0.4452269,0.0001353
