Draw Number,P(Ti),P(Tv),P(mutS)
1,0.4998644,0.4834185,0.0167171
2,0.5074434,0.4758709,0.0166857
3,0.5151821,0.4681174,0.0167005
4,0.5227152,0.4605894,0.0166954
5,0.5299558,0.4533363,0.0167079
6,0.5376818,0.4456996,0.0166186
7,0.5453524,0.4379401,0.0167075
8,0.5524297,0.4308709,0.0166994
9,0.5601185,0.4231886,0.0166929
10,0.5677034,0.4156044,0.0166922
11,0.5750704,0.4082774,0.0166522
12,0.5825172,0.4007606,0.0167222
13,0.5902297,0.3931446,0.0166257
14,0.5976098,0.3857364,0.0166538
15,0.6054318,0.3779126,0.0166556
16,0.6126226,0.3707613,0.0166161
17,0.620219,0.3631976,0.0165834
18,0.6273418,0.3560004,0.0166578
19,0.6350178,0.3483703,0.0166119
20,0.6423194,0.3410011,0.0166795
21,0.6499785,0.3333619,0.0166596
22,0.6575075,0.3259139,0.0165786
23,0.6648663,0.318483,0.0166507
24,0.6725763,0.3107651,0.0166586
25,0.6797623,0.3035324,0.0167053
26,0.6875686,0.2957001,0.0167313
27,0.6947712,0.2886083,0.0166205
28,0.7025325,0.2807572,0.0167103
29,0.7102316,0.2730648,0.0167036
30,0.7175043,0.2658771,0.0166186
31,0.7249643,0.2583934,0.0166423
32,0.7252793,0.2580257,0.016695
33,0.7148961,0.2684557,0.0166482
34,0.695907,0.2873597,0.0167333
35,0.6725905,0.3107332,0.0166763
36,0.6478017,0.3355698,0.0166285
37,0.6218805,0.3614581,0.0166614
38,0.5962048,0.3871864,0.0166088
39,0.5699978,0.4133718,0.0166304
40,0.5440707,0.4392814,0.0166479
41,0.5180293,0.4652827,0.016688
42,0.4916916,0.4916636,0.0166448
43,0.4652976,0.5180462,0.0166562
44,0.4384653,0.5449012,0.0166335
45,0.411845,0.5714796,0.0166754
46,0.3844378,0.5988816,0.0166806
47,0.356666,0.6266363,0.0166977
48,0.328535,0.6547031,0.0167619
49,0.3001549,0.683154,0.0166911
50,0.2717084,0.7116142,0.0166774
51,0.2431935,0.740081,0.0167255
52,0.2146478,0.7686915,0.0166607
53,0.1865836,0.7967836,0.0166328
54,0.1592041,0.8241413,0.0166546
55,0.1328354,0.8504963,0.0166683
56,0.1076933,0.8756496,0.0166571
57,0.0840718,0.8992575,0.0166707
58,0.0620987,0.9212438,0.0166575
59,0.0417771,0.9415635,0.0166594
60,0.0233458,0.960032,0.0166222
